                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.50369,                0.41154,                0.36052,                0.83084,                0.98121,                0.99907,                0.98342,                 0.9478,                0.97989,                0.99772,                0.98339,                0.70295,                0.32407,                0.52862,                0.31901,                0.79082,               0.002179,               0.002179,               0.002179
                     81,                0.49238,                0.38401,                0.34817,                0.83335,                0.98155,                 0.9991,                0.98353,                0.95589,                0.97937,                0.99685,                0.98345,                0.70683,                0.29781,                 0.5065,                0.30722,                0.78856,                0.00208,                0.00208,                0.00208
                     82,                0.49424,                0.42158,                0.34469,                0.83578,                0.98032,                0.99955,                0.98398,                0.94949,                0.97856,                0.99775,                0.98392,                0.70029,                0.33941,                0.50722,                 0.3306,                0.79143,               0.001981,               0.001981,               0.001981
                     83,                0.54099,                0.50724,                0.36658,                0.84097,                0.98081,                 0.9982,                0.98468,                0.94932,                0.97905,                0.99897,                0.98485,                0.70654,                0.32611,                 0.5123,                0.30724,                0.79008,               0.001882,               0.001882,               0.001882
                     84,                0.50647,                0.47347,                 0.3451,                0.83094,                0.98074,                0.99955,                0.98424,                  0.955,                0.97942,                 0.9982,                0.98421,                0.70375,                0.30837,                0.51423,                0.30838,                  0.788,               0.001783,               0.001783,               0.001783
                     85,                 0.4679,                 0.3579,                0.33156,                0.82303,                 0.9809,                0.99865,                 0.9845,                 0.9526,                0.97914,                0.99685,                0.98468,                0.70602,                0.30884,                0.52089,                0.30938,                0.78799,               0.001684,               0.001684,               0.001684
                     86,                0.50945,                0.42643,                0.36519,                0.83685,                0.98121,                0.99862,                0.98487,                0.95017,                  0.979,                0.99637,                 0.9848,                0.70672,                0.32301,                0.51227,                0.31776,                0.78849,               0.001585,               0.001585,               0.001585
                     87,                0.50005,                0.44095,                0.35102,                0.82732,                0.98057,                0.99943,                0.98501,                0.95566,                0.97881,                0.99783,                0.98496,                0.70274,                0.30912,                0.52609,                0.30861,                0.78766,               0.001486,               0.001486,               0.001486
                     88,                0.50389,                 0.4192,                0.35345,                0.83103,                0.98105,                0.99887,                0.98536,                0.95503,                0.97906,                0.99685,                0.98528,                0.70378,                0.31168,                0.52704,                0.30707,                0.78701,               0.001387,               0.001387,               0.001387
                     89,                 0.5127,                0.43191,                0.34841,                0.83073,                0.98143,                0.99894,                0.98464,                0.95466,                  0.979,                0.99646,                0.98448,                0.71117,                0.31021,                0.50523,                0.30577,                0.78629,               0.001288,               0.001288,               0.001288
